"neighbourhood","listings_count","avg_price","avg_days_available","avg_days_booked","avg_yearly_income","avg_monthly_income"
Praha 18,11,94.7781818181818182,170.6363636363636364,194.36,20470.80,1705.90
Praha 1,2608,113.4870398773006135,199.9593558282208589,165.04,17864.09,1488.67
Praha 13,42,93.6495238095238095,178.2142857142857143,186.79,17466.80,1455.57
Praha 2,1348,96.0060830860534125,176.0029673590504451,189.00,17299.35,1441.61
Libuš,16,111.9000000000000000,228.6250000000000000,136.38,15758.13,1313.18
Praha 10,260,82.6801538461538462,185.6115384615384615,179.39,14679.53,1223.29
Zličín,11,86.4218181818181818,212.7272727272727273,152.27,14389.75,1199.15
Praha 3,856,77.9602803738317757,174.4637850467289720,190.54,14263.08,1188.59
Praha 7,332,96.0504819277108434,208.6626506024096386,156.34,14059.70,1171.64
Praha 14,22,72.2981818181818182,176.5909090909090909,188.41,13927.26,1160.61
Praha 9,107,82.8456074766355140,189.5514018691588785,175.45,13411.75,1117.65
Praha 5,712,90.8730337078651685,209.2106741573033708,155.79,13194.98,1099.58
Praha 8,480,89.0335000000000000,217.5437500000000000,147.46,12749.16,1062.43
Praha 4,249,78.7815261044176707,195.3453815261044177,169.65,12707.64,1058.97
Praha 6,237,83.8327426160337553,217.0168776371308017,147.98,12433.16,1036.10
Praha 11,26,77.5738461538461538,205.7307692307692308,159.27,11976.30,998.03
Praha 12,22,69.4490909090909091,203.8636363636363636,161.14,11205.50,933.79
Zbraslav,11,66.9309090909090909,216.5454545454545455,148.45,9846.63,820.55
Velká Chuchle,26,89.4153846153846154,275.6538461538461538,89.35,7993.23,666.10
Praha 15,18,71.4155555555555556,254.5000000000000000,110.50,6520.02,543.34
